Question,Tag
I have a little game written in C It uses a database as back end It s a trading card game and I wanted to implement the function of the cards as a script What I mean is that I essentially have an interface ICard which a card class implements public class Card056 ICard and which contains function that are called by the game Now to make the thing maintainable moddable I would like to have the class for each card as source code in the database and essentially compile it on first use So when I have to add change a card I ll just add it to the database and tell my application to refresh without needing any assembly deployment especially since we would be talking about 1 assembly per card which means hundreds of assemblies Is that possible Register a class from a source file and then instantiate it etc ICard Cards current new MyGame CardLibrary Card056 Cards current OnEnterPlay ref currentGameState The language is C but extra bonus if it s possible to write the script in any NET language,csharp
I am working on a collection of classes used for video playback and recording I have one main class which acts like the public interface with methods like play stop pause record etc Then I have workhorse classes which do the video decoding and video encoding I just learned about the existence of nested classes in C and I m curious to know what programmers think about using them I am a little wary and not really sure what the benefits drawbacks are but they seem according to the book I m reading to be used in cases such as mine The book suggests that in a scenario like mine a good solution would be to nest the workhorse classes inside the interface class so there are no separate files for classes the client is not meant to use and to avoid any possible naming conflicts I don t know about these justifications Nested classes are a new concept to me Just want to see what programmers think about the issue,cpp
I would like the version property of my application to be incremented for each build but I m not sure on how to enable this functionality in Visual Studio 2005 2008 I have tried to specify the AssemblyVersion as 1 0 but it doesn t get me exactly what I want I m also using a settings file and in earlier attempts when the assembly version changed my settings got reset to the default since the application looked for the settings file in another directory I would like to be able to display a version number in the form of 1 1 38 so when a user finds a problem I can log the version they are using as well as tell them to upgrade if they have an old release A short explanation of how the versioning works would also be appreciated When does the build and revision number get incremented,csharp
What s the simplest way to connect and query a database for a set of records in C,csharp
I need to grab the base64 encoded representation of the ViewState Obviously this would not be available until fairly late in the request lifecycle which is OK For example if the output of the page includes lt input type hidden name __VIEWSTATE id __VIEWSTATE value wEPDwUJODU0Njc5MD gt I need a way on the server side to get the value wEPDwUJODU0Njc5MD To clarify I need this value when the page is being rendered not on PostBack e g I need to know the ViewState value that is being sent to the client not the ViewState I m getting back from them,csharp
I m looking for a way to delete a file which is locked by another process using C I suspect the method must be able to find which process is locking the file perhaps by tracking the handles although I m not sure how to do this in C then close that process before being able to complete the file delete using File Delete,csharp
Getting back into a bit more NET after a few years of not using it full time and wondering what the good unit testing packages are these days I m familiar with NUnit a few years ago and have played briefly around with IronRuby with the goal of getting something like rspec going but don t know much beyond that I realize I could google for this and call it a day but I believe I m likely to get a better and more informed response from asking a question here Suggestions,csharp
I currently use a DataTable to get results from a database which I can use in my code However many example on the web show using a DataSet instead and accessing the table s through the collections method Is there any advantage performance wise or otherwise of using DataSets or DataTables as a storage method for SQL results,csharp
How do you disable autocomplete in the major browsers for a specific input or form field,html
Let s say that we have an ARGB color Color argb Color FromARGB 127 69 12 255 Light Urple When this is painted on top of an existing color the colors will blend So when it is blended with white the resulting color is Color FromARGB 255 162 133 255 The solution should work like this Color blend Color White Color argb Color FromARGB 127 69 12 255 Light Urple Color rgb ToRGB argb blend Same as Color FromARGB 255 162 133 255 What is ToRGB s implementation,csharp
